band_name,fans,formed,origin,split,style
Thy Majestie,46,1998,Italy,1998,Symphonic power
Transcending Bizarre?,46,2000,Greece,,"Avantgarde,Symphonic black"
Ved Buens Ende,46,1994,Norway,1994,"Black,Avantgarde"
Warlord,46,1980,USA,,Heavy
Ava Inferi,45,2005,Portugal,2005,Gothic doom
Before The Rain,45,1997,Portugal,,Death doom
ETHS,45,1999,France,1999,"Nu,Metalcore"
Euphoreon,45,2009,New Zealand,,Extreme power
Extol,45,1993,Norway,1993,"Progressive death,Extreme progressive"
Feared,45,2007,Sweden,,Progressive death
Harakiri For The Sky,45,2011,Austria,2011,"Black,Post-metal"
Impending Doom,45,2005,USA,,Deathcore
Lord Mantis,45,2008,USA,2008,Blackened sludge
Macabre,45,1985,USA,,"Grindcore,Death"
Mutiny Within,45,2002,USA,2002,"Progressive metalcore,Extreme power"
Pink Cream 69,45,1987,Germany,,"Melodic hard rock,Heavy"
Repulsion,45,1985,USA,1985,Grindcore
Rishloo,45,2002,USA,,"Alternative,Progressive"
Timeless Miracle,45,2001,Sweden,2001,Power
Universum,45,2006,Australia,,Gothenburg
Archgoat,44,1989,Finland,1989,"Black,Death"
Archspire,44,2007,Canada,,Technical death
Disgorge,44,1992,USA,1992,Brutal death
Engel,44,2004,Sweden,,Modern gothenburg
Entombed A.D.,44,2014,Sweden,2014,Death
Hannes Grossmann,44,2013,Germany,,"Progressive death,Technical death"
Impaled,44,1997,USA,1997,"Deathgrind,Goregrind ,Death"
Lindemann,44,2015,Germany,,Industrial
Shylmagoghnar,44,2004,The Netherlands,2004,"Atmospheric black,Progressive black,Melodic death"
The Old Dead Tree,44,1997,France,,Gothic
Waylander,44,1993,United Kingdom,1993,Celtic folk
Zero Hour,44,1993,USA,2008,Progressive
Abyssal,43,2011,United Kingdom,2011,Blackened death
Amenra,43,2003,Belgium,,"Doom,Sludge,Hardcore"
Antestor,43,1990,Norway,1990,"Death doom,Black,Symphonic black"
Ataraxie,43,2000,France,,"Death,Funeral doom"
Black Tusk,43,2005,USA,2005,"Sludge,Hardcore,Punk"
Deceased,43,1985,USA,,"Death,Thrash,Heavy"
Dionysus,43,1999,Sweden,1999,Melodic power
Elysian Blaze,43,2003,Australia,,"Atmospheric black,Funeral doom"
Enthrope,43,2006,Finland,2006,Melodic death
Horrendous,43,2009,USA,,Death
Imperia,43,2003,Norway,2003,"Symphonic,Gothic"
Infestus,43,2003,Germany,,Black
Jolly,43,2008,USA,2008,Progressive
Kromlek,43,2004,Germany,2012,Pagan folk
Lost Society,43,2010,Finland,2010,Thrash
Master,43,1983,USA,,Death
Morgana Lefay,43,1986,Sweden,1986,Power
Sacramentum,43,1990,Sweden,2001,"Black,Death"
Skindred,43,1999,United Kingdom,1999,"Nu,Alternative,Ragga"
Starkill,43,2012,USA,,Melodic death
Virus,43,2000,Norway,2000,Avantgarde
Atrocity,42,1985,Germany,,"Death,Gothic industrial"
Borealis,42,2005,Canada,2005,Power
Cancer Bats,42,2004,Canada,,"Hardcore,Metalcore,Punk"
Charred Walls Of The Damned,42,2009,USA,2009,"Us power,Thrash"
Clawfinger,42,1990,Sweden,,"Alternative,Nu"
Crimson Shadows,42,2006,Canada,2006,Extreme power
Degradead,42,2006,Sweden,,Gothenburg
Demonic Resurrection,42,2000,India,2000,"Death,Symphonic,Blackened death"
Echoes Of Eternity,42,2005,USA,,Symphonic progressive
Evocation,42,1991,Sweden,1991,Death
Galadriel,42,1995,Slovak Republic,,Symphonic doom
Helrunar,42,2001,Germany,2001,Black
Hooded Menace,42,2007,Finland,,Death doom
Ikuinen Kaamos,42,1997,Finland,1997,"Black,Death doom,Progressive death"
Kat,42,1979,Poland,,"Heavy,Speed,Thrash"
Klone,42,1999,France,1999,"Alternative,Progressive"
Magic Kingdom,42,1998,Belgium,,Power
Maximum The Hormone,42,1998,Japan,1998,"Alternative,Hardcore,Punk"
Mouth Of The Architect,42,2003,USA,,"Atmospheric sludge,Post-metal"
Nadja,42,2002,Canada,2002,"Ambient,Drone ,Doom"
Nocte Obducta,42,1995,Germany,,"Black,Progressive black,Avantgarde black"
Otyg,42,1995,Sweden,1995,Folk
Setherial,42,1993,Sweden,,Black
Skogen,42,2009,Sweden,2009,Black
SOiL,42,1997,USA,,"Hard rock,Grunge"
Timo Tolkki's Avalon,42,2012,Finland,2012,"Power,Symphonic"
Unanimated,42,1988,Sweden,,Melodic death
Vicious Rumors,42,1980,USA,1980,Us power
36 Crazyfists,41,1994,USA,,"Alternative,Metalcore,Melodic metalcore"
Acid Witch,41,2007,USA,2007,Death doom
Carnivore,41,1982,USA,2010,"Crossover thrash,Hardcore,Punk"
Craft,41,1994,Sweden,1994,Black
Dark Forest,41,2003,Canada,,Viking black
Darkestrah,41,1999,"Kyrgyzstan, Germany",1999,Pagan black
Excalion,41,2000,Finland,,Power
Fleshcrawl,41,1987,Germany,1987,Death
Heljareyga,41,2009,Faroe Islands,,Progressive
Mithras,41,1998,United Kingdom,1998,"Atmospheric death,Brutal death"
Necrophagia,41,1983,USA,,Death
Pathology,41,2006,USA,2006,Brutal death
Peccatum,41,1998,Norway,2006,Avantgarde
Saint Deamon,41,2006,Sweden,2006,"Heavy,Power"
Saltatio Mortis,41,2000,Germany,,Medieval folk
Suspyre,41,2001,USA,2001,Progressive
Taranis,41,1999,Hungary,2013,"Symphonic black,Progressive"
Trepalium,41,2000,France,2000,Death
A Pale Horse Named Death,40,2011,USA,,"Doom,Gothic"
Ablaze In Hatred,40,2004,Finland,2004,"Melodic death,Doom"
Aetherian,40,2013,Greece,,Melodic death
Almôra,40,2001,Turkey,2001,"Power,Folk"
Dreamshade,40,2006,Switzerland,,Melodic death
Dredg,40,1993,USA,1993,"Alternative,Progressive rock"
Gwydion,40,1995,Portugal,,Viking folk
Huntress,40,2009,USA,2009,Heavy
Inborn Suffering,40,2002,France,,"Death,Doom"
Leverage,40,2004,Finland,2004,"Symphonic power,Progressive heavy"
Man Must Die,40,2002,United Kingdom,,Technical death
Mandragora Scream,40,1997,Italy,1997,Gothic
Mokoma,40,1996,Finland,,"Grunge rock,Thrash"
Mortal Love,40,2000,Norway,2000,Gothic
Mortiis,40,1993,Norway,,"Ambient,Darkwave,Gothic industrial"
Sunset In The 12th House,40,2011,Romania,2011,"Post-metal,Post-rock,Psychedelic rock"
Warrant,40,1984,USA,,Hard rock
Assassin,39,1982,Germany,1982,Thrash
Azaghal,39,1995,Finland,,Black
Brutality,39,1986,USA,1986,Death
Budgie,39,1967,United Kingdom,,"Hard rock,Heavy,Progressive rock"
Cauldron,39,2006,Canada,2006,Heavy
Demigod,39,1990,Finland,2008,Death
Dissona,39,2005,USA,2005,"Progressive,Avantgarde"
Ixion,39,2004,France,,Atmospheric doom
Katra,39,2006,Finland,2006,Symphonic
Nomans Land,39,1996,Russia,,"Doom,Viking folk,Viking black"
Ondskapt,39,2000,Sweden,2000,Black
Rudra,39,1992,Singapore,,"Death,Thrash"
Shattered Hope,39,2002,Greece,2002,Death doom
Spastic Ink,39,1993,USA,,"Progressive,Instrumental"
Wormed,39,1998,Spain,1998,"Brutal death,Grindcore"
Aborym,38,1991,Italy,,Industrial black
Belenos,38,1995,France,1995,Pagan black
Church Of Misery,38,1995,Japan,,"Doom,Stoner"
Cirith Ungol,38,1972,USA,1972,"Heavy,Doom"
Crystal Viper,38,2003,Poland,,Heavy
Darkwell,38,1999,Austria,1999,Gothic
Destinity,38,1996,France,,"Symphonic black,Melodic death"
Dismal Euphony,38,1992,Norway,1992,"Death,Melodic black"
Divinefire,38,2004,Sweden,,Power
Domine,38,1983,Italy,1983,Power
Falls Of Rauros,38,2005,USA,,"Atmospheric black,Neofolk"
Gates Of Ishtar,38,1992,Sweden,1992,Melodic death
Girlschool,38,1975,United Kingdom,,"New wave of british heavy,Heavy"
Gorgasm,38,1996,USA,1996,Brutal death
Hecate Enthroned,38,1993,United Kingdom,,"Symphonic black,Blackened death,Melodic black"
Intervals,38,2011,Canada,2011,Progressive
Lita Ford,38,1979,USA,,"Hard rock,Heavy"
Luna Mortis,38,2008,USA,2008,Melodic death
Morgul,38,1991,Norway,,Black
Outworld,38,1997,USA,1997,Progressive power
Pomegranate Tiger,38,2008,Canada,,"Progressive,Instrumental"
Seven Kingdoms,38,2006,USA,2006,Power
Striker,38,2007,Canada,,"Thrash,Speed"
Uncle Acid & The Deadbeats,38,2009,United Kingdom,2009,"Doom,Psychedelic rock"
Varathron,38,1988,Greece,,Black
Wormrot,38,2007,Singapore,2007,Grindcore
Yearning,38,1994,Finland,2010,"Symphonic gothic,Atmospheric doom"
Adorned Brood,37,1993,Germany,1993,"Folk,Black"
Ancient Wisdom,37,1992,Sweden,,Atmospheric black
Burst,37,1993,Sweden,1993,"Progressive metalcore,Hardcore,Post-hardcore ,Post-metal,Progressive sludge"
Demonoid,37,2002,Sweden,,"Death,Thrash"
Detonation,37,1997,The Netherlands,1997,"Melodic death,Thrash"
Downfall Of Nur,37,2013,Argentina,,"Atmospheric black,Folk"
Grip Inc.,37,1993,USA,1993,Thrash
Katalepsy,37,2003,Russia,,Brutal death
Khors,37,2004,Ukraine,2004,Black
Mael Mórdha,37,1998,Ireland,,Celtic doom
Omen,37,1983,USA,1983,"Heavy,Us power"
On Thorns I Lay,37,1992,Greece,,"Gothic,Death doom,Doom"
Progenie Terrestre Pura,37,2009,Italy,2009,"Atmospheric black,Industrial black"
Pungent Stench,37,1988,Austria,2007,Death
Steel Attack,37,1995,Sweden,1995,"Heavy,Power"
Superjoint Ritual,37,1993,USA,2004,Sludge
Torchbearer,37,2003,Sweden,2003,"Blackened death,Thrash"
Viikate,37,1996,Finland,,Melodic heavy
Waltari,37,1986,Finland,1986,"Progressive thrash,Avantgarde,Alternative,Symphonic death,Industrial"
Æther Realm,36,2010,USA,,"Melodic death,Folk"
...And Oceans,36,1995,Finland,1995,"Symphonic black,Industrial"
Agruss,36,2009,Ukraine,,"Atmospheric black,Death"
Anal Cunt,36,1988,USA,1988,"Grindcore,Noisecore"
Aquaria,36,1999,Brazil,,Symphonic power
Arena,36,1995,United Kingdom,1995,Progressive
Broken Hope,36,1988,USA,,"Death,Goregrind"
Chimp Spanner,36,2004,United Kingdom,2004,"Progressive,Djent,Instrumental"
Crisix,36,2008,Spain,,Thrash
Draugnim,36,1999,Finland,1999,Pagan black
Fueled By Fire,36,2002,USA,,Thrash
Hammers Of Misfortune,36,1998,USA,1998,Progressive
Khold,36,2000,Norway,,Black
Krampus,36,2009,Italy,2009,"Folk,Melodic death"
Krux,36,2002,Sweden,,Doom
Lunarsea,36,2003,Italy,2003,Melodic death
Mitochondrion,36,2003,Canada,,"Progressive death,Blackened death"
Monuments,36,2006,United Kingdom,2006,"Progressive math,Djent"
Mortification,36,1990,Australia,,Death
Nader Sadek,36,2011,USA,2011,Death
Nightmare,36,1979,France,,"Heavy,Symphonic power"
Paul Wardingham,36,2010,Australia,2010,Progressive math
Protector,36,1986,Germany,,"Death,Thrash"
Putrid Pile,36,2000,USA,2000,Brutal death
Times Of Grace,36,2007,USA,,Melodic metalcore
Tombs,36,2007,USA,2007,"Black,Sludge"
Trick Or Treat,36,2002,Italy,,Power
Tyranny,36,2001,Finland,2001,Funeral doom
Vehemence,36,1997,USA,,Technical death
Aesma Daeva,35,1998,USA,1998,Symphonic
Altaria,35,1999,Finland,2016,Power
Chevelle,35,1995,USA,1995,"Alternative,Hard rock"
Dirge,35,1994,France,,"Sludge,Industrial,Atmospheric sludge,Doom"
Estradasphere,35,1998,USA,1998,"Avantgarde,Fusion"
Evereve,35,1993,Germany,,Atmospheric gothic
Fferyllt,35,2003,Russia,2003,Folk
Inferi,35,2006,USA,,"Melodic death,Technical death"
Kahtmayan,35,1998,Iran,1998,"Progressive,Thrash,Instrumental"
Kimaera,35,2000,Lebanon,,Death doom
Korzus,35,1983,Brazil,1983,Thrash
Minsk,35,2002,USA,,Post-metal
Noekk,35,2004,Germany,2004,Progressive doom
Nyktalgia,35,2001,Germany,2008,Depressive black
Odious Mortem,35,1998,USA,1998,Technical death
Orchid,35,2007,USA,,Doom
Pan.thy.monium,35,1990,Sweden,1990,"Avantgarde,Progressive death"
Pro-Pain,35,1992,USA,,"Crossover thrash,Hardcore"
Spectral Lore,35,2005,Greece,2005,"Atmospheric black,Dark ambient"
Steelwing,35,2009,Sweden,,Heavy
Subsignal,35,2007,Germany,2007,Progressive
Subterranean Masquerade,35,1997,,,"Progressive,Psychedelic rock"
Walls Of Jericho,35,1998,USA,1998,Metalcore
Abnormality,34,2005,USA,,"Brutal death,Technical death"
Ambeon,34,2001,The Netherlands,2001,"Progressive,Ambient"
Arafel,34,1997,Israel,,Melodic black
Ashes Of Ares,34,2012,USA,2012,Heavy
Ashes You Leave,34,1995,Croatia,,"Doom,Gothic doom"
Atrophy,34,1986,USA,1986,Thrash
Dawn Of Demise,34,2003,Denmark,,Death
Emptiness,34,1998,Belgium,1998,Blackened death
Ghost Bath,34,2012,USA,,"Depressive black,Post-metal"
Menace Ruine,34,2006,Canada,2006,"Atmospheric black,Drone doom,Neofolk,Noise"
Prostitute Disfigurement,34,2000,The Netherlands,,Brutal death
Pythia,34,2007,United Kingdom,2007,Symphonic power
Sadist,34,1991,Italy,,Progressive death
Shaolin Death Squad,34,2001,USA,2001,"Progressive,Avantgarde"
Storm,34,1993,Norway,1995,Blackened folk
Tad Morose,34,1991,Sweden,1991,Progressive power
Torture Squad,34,1990,Brazil,,"Death,Thrash"
Tygers Of Pan Tang,34,1978,United Kingdom,1978,"New wave of british heavy,Heavy"
White Skull,34,1988,Italy,,Power
Acid King,33,1993,USA,1993,Stoner
Age Of Silence,33,2004,Norway,,Avantgarde
Antaeus,33,1994,France,1994,Black
Aosoth,33,2002,France,,Black
Artrosis,33,1995,Poland,1995,Gothic
Beyond The Black,33,2014,Germany,,Symphonic
Butterfly Temple,33,1995,Russia,1995,Pagan folk
Callisto,33,2001,Finland,,Post-metal
Eye Of Solitude,33,2010,United Kingdom,2010,Death doom
Falchion,33,2002,Finland,2009,"Melodic death,Folk"
Fjoergyn,33,2003,Germany,2003,"Folk,Symphonic"
Funeralium,33,2003,France,,Funeral doom
InnerWish,33,1995,Greece,1995,Power
Kalevala,33,2007,Russia,,Folk
Life Of Agony,33,1989,USA,1989,"Hardcore,Alternative,Grunge"
Loits,33,1996,Estonia,,Black
Manes,33,1993,Norway,1993,"Black,Electro avantgarde"
Misþyrming,33,2013,Iceland,,Black
Morgion,33,1990,USA,1990,"Death,Doom"
Obsidian Kingdom,33,2005,Spain,,Extreme progressive
Olympos Mons,33,2002,Finland,2002,Power
Slaughter,33,1984,Canada,1990,"Death,Thrash"
Spineshank,33,1996,USA,1996,"Industrial,Nu"
Sunburst,33,2010,Greece,,"Progressive,Power"
The 11th Hour,33,2008,The Netherlands,2008,Doom
The Exploited,33,1979,United Kingdom,,"Hardcore,Crossover thrash,Punk"
Thergothon,33,1990,Finland,1990,Funeral doom
Torche,33,2004,USA,,"Stoner,Sludge"
Viathyn,33,2006,Canada,2006,Progressive power
Weeping Silence,33,1998,Malta,,"Gothic,Doom"
Whyzdom,33,2007,France,2007,Symphonic
Ásmegin,32,1998,Norway,,Viking folk
Arthemesia,32,1994,Finland,1994,Melodic black
Botanist,32,2009,USA,,Experimental black
Coffins,32,1996,Japan,1996,Death
Crashdïet,32,2000,Sweden,,Glam
Cryptic Wintermoon,32,1993,Germany,1993,"Symphonic black,Thrash"
Dawn Of Destiny,32,2005,Germany,,Power
Deals Death,32,2008,Sweden,2008,Gothenburg
Elder,32,2006,USA,,"Psychedelic rock,Stoner"
Enslavement Of Beauty,32,1995,Norway,1995,"Melodic black,Gothic"
Ghoul,32,2001,USA,,"Death,Thrash"
Hamferð,32,2008,Faroe Islands,2008,Doom
Heavens Gate,32,1987,Germany,1999,Heavy
Megaherz,32,1993,Germany,1993,"Industrial,Alternative"
Michael Angelo Batio,32,1993,USA,,"Neoclassical heavy,Instrumental hard rock"
Nanowar Of Steel,32,2003,Italy,2003,"Heavy,Power"
Narnia,32,1996,Sweden,,Power
Native Construct,32,2011,USA,2011,Progressive
Nox Aurea,32,2005,Sweden,,"Melodic death,Doom"
Raventale,32,2005,Ukraine,2005,"Atmospheric black,Doom"
Sinner,32,1980,Germany,,Heavy
SpellBlast,32,1999,Italy,1999,"Folk,Power"
Spiral Architect,32,1993,Norway,,Technical progressive
Three,32,1994,USA,1994,Progressive rock
Windhand,32,2008,USA,,"Doom,Stoner"
Amoral,31,1997,Finland,1997,"Technical death,Power,Death,Thrash"
Blind Stare,31,1999,Finland,,"Melodic death,Extreme power"
Coffinworm,31,2007,USA,2007,"Blackened sludge,Doom"
Crucified Barbara,31,1998,Sweden,2016,"Hard rock,Heavy"
Desultory,31,1989,Sweden,1989,Death
Devian,31,2006,Sweden,2011,"Black,Death"
Dreadnought,31,2012,USA,2012,"Black,Folk,Progressive"
Endstille,31,2000,Germany,,Black
Faithful Darkness,31,2004,Sweden,2004,Gothenburg
Forest Silence,31,1997,Hungary,,"Dark,Ambient,Atmospheric black"
Helheim,31,1992,Norway,1992,Viking black
Human Fortress,31,1997,Germany,,"Hard rock,Power"
Lascaille's Shroud,31,2008,USA,2008,Progressive death
Le Grand Guignol,31,1996,Luxembourg,,"Symphonic black,Avantgarde black"
Lingua Mortis Orchestra,31,2013,Germany,2013,Symphonic
Longing For Dawn,31,2002,Canada,,"Death doom,Funeral doom"
Murmuüre,31,2006,France,2006,Ambient black
Nailbomb,31,1994,Brazil,1995,Industrial thrash
Negative,31,1997,Finland,1997,"Suomi,Glam"
Panzerchrist,31,1994,Denmark,,"Death,Blackened death"
Rivers Of Nihil,31,2009,USA,2009,Technical death
Root,31,1987,Czech Republic,,Black
Skuggsjá,31,2014,Norway,2014,Pagan folk
System Divide,31,2008,USA,2014,Melodic death
Teitanblood,31,2003,Spain,2003,"Black,Death"
The Chasm,31,1993,Mexico,,Death
The Red Chord,31,1999,USA,1999,"Deathcore,Grindcore,Technical deathcore"
Verdunkeln,31,1998,Germany,,Psychedelic black
Abruptum,30,1990,Sweden,1990,"Black,Ambient,Noise"
Cadacross,30,1997,Finland,2005,"Death,Melodic death,Folk,Power"
Carpe Noctem,30,2005,Iceland,2005,Black
Cloak Of Altering,30,2011,The Netherlands,,Avantgarde black
Code,30,1998,United Kingdom,1998,"Black,Doom,Post-rock,Progressive rock"
Criminal,30,1991,Chile,,"Death,Thrash"
Cryonic Temple,30,1996,Sweden,1996,Power
Extreme Noise Terror,30,1985,United Kingdom,,"Crust,Punk ,Death,Grindcore"
Faal,30,2005,The Netherlands,2005,"Black,Doom"
Gormathon,30,2009,Sweden,,Melodic death
Heretoir,30,2006,Germany,2006,Depressive black
Hermética,30,1987,Argentina,1994,Thrash
Highland Glory,30,2001,Norway,2001,Power
Iskald,30,2005,Norway,,Melodic black
Katharsis,30,1994,Germany,1994,Black
Kawir,30,1993,Greece,,Pagan black
Kuolemanlaakso,30,2010,Finland,2010,Death doom
Light This City,30,2002,USA,2008,"Melodic death,Metalcore"
Lizzy Borden,30,1983,USA,1983,Heavy
Lullacry,30,1999,Finland,2014,Suomi
Merciless,30,1986,Sweden,1986,Thrash
Mourning Lenore,30,2008,Portugal,2012,Death doom
Netherion,30,2010,Syria,2010,Death
Phideaux,30,1996,USA,,Progressive rock
Runic,30,2001,Spain,2001,"Viking folk,Extreme power"
Saurom,30,1996,Spain,,"Folk,Power"
ScoX,30,2010,Iran,2010,Brutal death
Solstice,30,1990,United Kingdom,,Epic doom
Todesbonden,30,2003,USA,2003,"Atmospheric doom,Atmospheric gothic"
Troll,30,1992,Norway,,Industrial black
Valkyrja,30,2004,Sweden,2004,Black
Wulfgar,30,2005,Sweden,,Melodic death
Ævangelist,29,2010,USA,2010,Blackened death
Almafuerte,29,1995,Argentina,,"Heavy,Thrash,Folk"
American Head Charge,29,1996,USA,1996,"Industrial,Nu"
Autumnblaze,29,1996,Germany,,"Black,Gothic rock,Doom,Gothic"
Beheaded,29,1991,Malta,1991,"Brutal death,Technical death"
Christian Mistress,29,2008,USA,,Heavy
Daemonarch,29,1998,Portugal,1998,Melodic black
Destrage,29,2005,Italy,,"Melodic death,Metalcore"
Hammerforce,29,2006,Russia,2006,"Symphonic,Power,Progressive"
King's X,29,1980,USA,,"Progressive rock,Progressive"
Mare Cognitum,29,2011,USA,2011,Atmospheric black
Nahemah,29,1997,Spain,2012,"Symphonic black,Progressive death,Post-metal"
Necrodeath,29,1984,Italy,1984,Blackened thrash
Nothgard,29,2008,Germany,,Pagan black
Onmyo-Za,29,1999,Japan,1999,"Heavy,Folk"
Pharaoh,29,1997,USA,,"Heavy,Us power"
Procession,29,2006,Chile,2006,Doom
Scar The Martyr,29,2013,USA,,"Alternative,Industrial"
Stravaganzza,29,2003,Spain,2003,Symphonic
Sunless Rise,29,2006,Russia,,"Melodic death,Extreme power"
Theory In Practice,29,1995,Sweden,1995,"Melodic death,Technical death"
Thrudvangar,29,1998,Germany,,Viking black
Trauma,29,1988,Poland,1988,Death
Vale Of Pnath,29,2006,USA,,Technical death
Zimmers Hole,29,1991,Canada,1991,"Speed,Thrash"
Acheron,28,1988,USA,,Blackened death
Barathrum,28,1990,Finland,1990,Black
Bell Witch,28,2010,USA,,Funeral doom
Bifröst,28,2005,Austria,2005,"Pagan black,Folk"
Biomechanical,28,2001,United Kingdom,,"Progressive,Thrash"
Black Flag,28,1976,USA,1976,"Sludge,Hardcore,Punk"
Dies Irae,28,1992,Poland,2005,Death
Dreams Of Sanity,28,1991,Austria,1991,Symphonic
Ekove Efrits,28,2001,Iran,,Black
Folkstone,28,2004,Italy,2004,Folk
Gloria Morti,28,1999,Finland,,"Thrash,Melodic black,Melodic death"
Kälter,28,2006,Canada,2006,"Melodic death,Progressive"
Kobra And The Lotus,28,2008,Canada,,Heavy
Kongh,28,2004,Sweden,2004,"Sludge,Doom"
Negator,28,2003,Germany,,Black
Nervosa,28,2010,Brazil,2010,Thrash
Nightbringer,28,1999,USA,,Black
Obliteration,28,2001,Norway,2001,Death
Odious,28,1998,Egypt,,"Black,Oriental folk"
Omega Lithium,28,2007,Croatia,2007,Gothic industrial
Poema Arcanus,28,1992,Chile,,Progressive doom
Scarve,28,1994,France,1994,Technical death
Sceptic,28,1994,Poland,,Technical death
Schandmaul,28,1998,Germany,1998,"Medieval folk,Medieval,Folk rock"
Skagos,28,2007,Canada,,Atmospheric black
SpiRitual,28,2005,Germany,2005,Gothic
Svartby,28,2004,Russia,,Folk
The Amenta,28,2002,Australia,2002,Industrial death
The Axis Of Perdition,28,2002,United Kingdom,2013,"Industrial black,Dark,Ambient"
Weakling,28,1998,USA,1998,Black
Welicoruss,28,2005,Russia,,Symphonic black
When Nothing Remains,28,2010,Sweden,2010,Funeral doom
Winger,28,1987,USA,,"Glam,Hard rock"
Wretched,28,2005,USA,2005,"Melodic deathcore,Technical death"
Zeal And Ardor,28,2014,USA,,Avantgarde black
Armageddon,27,1997,Sweden,1997,"Melodic death,Heavy,Power"
Atlantean Kodex,27,2005,Germany,,"Heavy,Doom"
Beautiful Sin,27,2005,Germany,2005,Heavy
Callenish Circle,27,1992,The Netherlands,2007,Gothenburg
Chaos Divine,27,2005,Australia,2005,"Melodic death,Progressive"
Crionics,27,1997,Poland,2011,"Black,Death"
Crom,27,1997,Germany,1997,"Viking folk,Power"
Decadence,27,2003,Sweden,,"Thrash,Melodic death"
Dekadent,27,2005,Slovenia,2005,Symphonic black
Dråpsnatt,27,2005,Sweden,,"Atmospheric black,Pagan black"
Emigrate,27,2005,Germany,2005,Industrial
Eucharist,27,1989,Sweden,,Melodic death
Frosttide,27,2009,Finland,2009,Extreme power
Hammer Horde,27,2007,USA,,Pagan black
Immortal Souls,27,1991,Finland,1991,"Melodic death,Heavy,Doom"
Ingested,27,2004,United Kingdom,,Brutal death
Insania,27,1992,Sweden,1992,Power
Kekal,27,1995,Indonesia,,"Black,Avantgarde"
Khanate,27,2000,USA,2000,"Extreme sludge,Doom"
Leah,27,2010,Canada,,Symphonic
Oceans Of Sadness,27,1995,Belgium,1995,"Extreme avantgarde,Extreme progressive"
Paragon,27,1990,Germany,,Power
Parasite Inc.,27,2007,Germany,2007,Melodic death
Planet Of Zeus,27,2000,Greece,,Stoner
Sister Sin,27,2002,Sweden,2002,Heavy
Slechtvalk,27,1999,The Netherlands,,Black
Sons Of Seasons,27,2007,Germany,2007,Symphonic progressive
Sun Of The Blind,27,2006,Switzerland,,Avantgarde black
Svart Crown,27,2004,France,2004,"Black,Death"
The Few Against Many,27,2008,Sweden,,"Melodic death,Symphonic"
The Haarp Machine,27,2007,United Kingdom,2007,"Technical death,Progressive"
Therapy?,27,1989,United Kingdom,,"Alternative,Hard rock"
Thou,27,2005,USA,2005,"Sludge,Doom"
Timo Tolkki,27,1994,Finland,,"Neoclassical power,Progressive"
Worship,27,1998,Germany,1998,Funeral doom
Al-Namrood,26,2008,Saudi Arabia,,Black
An Abstract Illusion,26,2007,Sweden,2007,"Melodic death,Progressive death"
Arakain,26,1982,Czech Republic,,Thrash
Arcana Coelestia,26,2005,Italy,2005,"Funeral doom,Atmospheric black"
Bornholm,26,2000,Hungary,,Pagan black
Bulldozer,26,1980,Italy,1980,Thrash
Cage,26,1992,USA,,Heavy
Cold Body Radiation,26,2009,The Netherlands,2009,"Atmospheric black,Shoegaze,Post-rock"
Crystal Eyes,26,1992,Sweden,,Power
Deathchain,26,2001,Finland,2001,"Thrash,Death"
Derek Sherinian,26,1996,USA,,"Progressive,Progressive rock"
Desolate Shrine,26,2010,Finland,2010,Death
Destroy Destroy Destroy,26,2003,USA,,Extreme power
Drowning The Light,26,2003,Australia,2003,Black
Elegy,26,1992,The Netherlands,,Progressive power
Elf,26,1967,USA,1967,"Blues rock,Hard rock"
Fozzy,26,1999,USA,,Heavy
Gardenian,26,1996,Sweden,1996,Melodic death
Hades Almighty,26,1998,Norway,,Black
Holy Terror,26,1985,USA,1985,Thrash
HolyHell,26,2005,USA,,Symphonic power
Illidiance,26,2004,Russia,2004,"Symphonic black,Industrial"
Lord,26,2003,Australia,,"Power,Heavy"
Manslaughter,26,2007,Poland,2007,"Death,Black"
Obtest,26,1992,Lithuania,,"Brutal death,Pagan black,Pagan folk"
Oceans Of Slumber,26,2011,USA,2011,Extreme progressive
Ram-Zet,26,1998,Norway,,Extreme avantgarde
Sacrifice,26,1983,Canada,1983,Thrash
Salem,26,1985,Israel,,"Black,Doom,Death"
Satariel,26,1993,Sweden,1993,"Black,Melodic death"
Shakra,26,1997,Switzerland,,"Hard rock,Heavy"
Tharaphita,26,1995,Estonia,1995,Pagan black
The Black Mages,26,2003,Japan,2010,Progressive
Thy Serpent,26,1992,Finland,1992,Melodic black
To Cast A Shadow,26,2005,Norway,,"Doom,Gothic"
Yggdrasil,26,2001,Sweden,2001,Folk
1000 Funerals,25,2005,Iran,2011,Funeral doom
Aaskereia,25,1997,Germany,1997,Pagan black
Amaran,25,2000,Sweden,2005,Gothenburg
Angelcorpse,25,1995,USA,1995,Blackened death
ASP,25,1999,Germany,,"Industrial gothic,Gothic rock"
Beyond Fear,25,2005,USA,2005,Heavy
Blackthorn,25,2004,Russia,,Symphonic gothic
Blitzkrieg,25,1980,United Kingdom,1980,"New wave of british heavy,Heavy"
Christian Muenzner,25,2011,Germany,,"Progressive,Instrumental"
Christopher Lee,25,2009,United Kingdom,2009,"Heavy,Power"
Concerto Moon,25,1996,Japan,,Power
Coronatus,25,2002,Germany,2002,Gothic
Death Breath,25,2005,Sweden,,Death
Depressed Mode,25,2005,Finland,2005,"Funeral doom,Melodic death"
Fall Of The Leafe,25,1996,Finland,2007,"Melodic death,Gothic,Heavy"
Forever Slave,25,2000,Spain,2000,Gothic
